Metabolism	Pathway	Module	KO	gene_name	if_key	NCBIfam	pfam	Refseq	EC	gene function	COG	Taxonomy	Reaction	Note															
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00577	mtrA	yes				7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit A																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00582	mtrF					7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit F																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00583	mtrG					7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit G																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic & Acetotrophic (mtrABCDEFGH)	K00584	mtrH					7.2.1.4	Tetrahydromethanopterin S-methyltransferase subunit H																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00320	mer	yes				1.5.98.2	"5,10-methylenetetrahydromethanopterin reductase"																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K13942	hmd					1.12.98.2	"5,10-methenyltetrahydromethanopterin hydrogenase"																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00319	mtd					1.5.98.1	methylenetetrahydromethanopterin dehydrogenase																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00300	mtdA	yes				1.5.1.-	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+)																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K10714	mtdB					1.5.1.-	methylene-tetrahydromethanopterin dehydrogenase																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K01499	mch	yes				3.5.4.27	methenyltetrahydromethanopterin cyclohydrolase																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00672	ftr	yes				2.3.1.101	formylmethanofuran-tetrahydromethanopterin N-formyltransferase																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00202	fwdC					1.2.7.12	formylmethanofuran dehydrogenase subunit C																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00200	fwdA	yes				1.2.7.12	formylmethanofuran dehydrogenase subunit A																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00201	fwdB					1.2.7.12	formylmethanofuran dehydrogenase subunit B																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00203	fwdD					1.2.7.12	formylmethanofuran dehydrogenase subunit D																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00204	fwdH					1.2.7.12	4Fe-4S ferredoxin																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K00205	fwdF					1.2.7.12	4Fe-4S ferredoxin																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K11261	fwdE					1.2.7.12	4Fe-4S ferredoxin																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Hydrogenotrophic (mer/hmd/mtd/mch/ftr/fwd)	K11260	fwdG					1.2.7.12	4Fe-4S ferredoxin																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic (cdhCDE)	K00193	cdhC					EC:2.3.1.169	acetyl-CoA decarbonylase/synthase complex subunit beta				"Step1: cleave Acetyl-CoA, generate CH3 and CO"															
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic (cdhCDE)	K00194	cdhD/ascD	yes				EC:2.1.1.245	"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta"				Step2.1: transfer CH3 to acceptors															
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic (cdhCDE)	K00197	cdhE/acsC					EC:2.1.1.245	"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma"				Step2.1: transfer CH3 to acceptors															
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic (cdhAB)	K00192	cdhA	yes					"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha"				"Step2.2: oxidize CO to CO2, release electron"															
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic (cdhAB)	K00195	cdhB						"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon"				"Step2.2: oxidize CO to CO2, release electron"															
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic (acs)	K01895	acs	yes																								
C1 and methane metabolism	Methanogenesis;methane oxidation	"Acetoclastic (ack, pta)"	K00925	ack	yes																								
C1 and methane metabolism	Methanogenesis;methane oxidation	"Acetoclastic (ack, pta)"	K00625	pta	yes																								
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic CO -> CO2 (cooFS)	K00196	cooF						anaerobic carbon-monoxide dehydrogenase iron sulfur subunit			CO2->CO	"Not necessary, sometimes replaced by cdhAB"															
C1 and methane metabolism	Methanogenesis;methane oxidation	Acetoclastic CO -> CO2 (cooFS)	K00198	cooS	yes					anaerobic carbon-monoxide dehydrogenase catalytic subunit	COG1151	Bacteria/Archaea	CO2->CO	"Not necessary, sometimes replaced by cdhAB"															
C1 and methane metabolism	Methylotrophic	Methylotrophic (Methanol) (mtaABC)	K14080	mtaA (Methanol)	yes	Methanol -> Methyl-CoM (mtaABC)			2.1.1.246	[methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Methanol) (mtaABC)	K04480	mtaB (Methanol)		Methanol -> Methyl-CoM (mtaABC)			2.1.1.90	methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Methanol) (mtaABC)	K14081	mtaC (Methanol)		Methanol -> Methyl-CoM (mtaABC)			NA	methanol corrinoid protein																			
C1 and methane metabolism	Methylotrophic	"Methylotrophic (mono-, di, tri-methylamine) (mtbA)"	K14082	"mtbA (mono-, di, tri-methylamine)"	yes	Methylamine -> Methyl-CoM (mfbA)			2.1.1.247	[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Methylamine) (mtmBC)	K16176	mtmB (Methylamine)	yes	Methylamine -> Methyl-CoM (mtmBC)			2.1.1.248	methylamine---corrinoid protein Co-methyltransferase																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Methylamine) (mtmBC)	K16177	mtmC (Methylamine)		Methylamine -> Methyl-CoM (mtmBC)			NA	monomethylamine corrinoid protein																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Dimethylamine) (mtbBC)	K16178	mtbB (Dimethylamine)	yes	Dimethylamine -> Methyl-CoM (mtbBC)			2.1.1.249	dimethylamine---corrinoid protein Co-methyltransferase																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Dimethylamine) (mtbBC)	K16179	mtbC (Dimethylamine)		Dimethylamine -> Methyl-CoM (mtbBC)			NA	dimethylamine corrinoid protein																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Trimethylamine) (mttBC)	K14083	mttB (Trimethylamine)	yes	Trimethylamine -> Methyl-CoM (mttBC)			2.1.1.250	trimethylamine---corrinoid protein Co-methyltransferase																			
C1 and methane metabolism	Methylotrophic	Methylotrophic (Trimethylamine) (mttBC)	K14084	mttC (Trimethylamine)		Trimethylamine -> Methyl-CoM (mttBC)			NA	trimethylamine corrinoid protein																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (echABCDE)	"K14086, K14087, K14088, K14089, K14090, K14091"	echABCDEF	yes					ech hydrogenase subunit ABCDEF																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (fpoABCDFHIJKLMNO)	"K22158, K22159, K22160, K22161, K22162, K22163, K22164, K22165, K22166, K22167, K22168, K22169, K22170"	fpoABCDFHIJKLMNO	yes					F420H2 dehydrogenase subunitA-O																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (mvhADG)	K14126	mvhA	yes	Energy Conservation (mvhADG)				F420-non-reducing hydrogenase large subunit		Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (mvhADG)	K14127	mvhD		Energy Conservation (mvhADG)				F420-non-reducing hydrogenase iron-sulfur subunit		Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (mvhADG)	K14128	mvhG		Energy Conservation (mvhADG)				F420-non-reducing hydrogenase small subunit		Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrABC1)	K22480	hdrA1	yes	Energy Conservation (hdrABC-1)			EC:1.8.7.3	heterodisulfide reductase subunit A1	COG1148	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrABC1)	K22481	hdrB1		Energy Conservation (hdrABC-1)			EC:1.8.7.3	heterodisulfide reductase subunit B1	COG2048	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrABC1)	K22482	hdrC1		Energy Conservation (hdrABC-1)			EC:1.8.7.3	heterodisulfide reductase subunit C1	COG1150	Methanogens																	
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrABC2)	K03388	hdrA2	yes	Energy Conservation (hdrABC-2)			EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6	heterodisulfide reductase subunit A2																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrABC2)	K03389	hdrB2		Energy Conservation (hdrABC-2)			EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6	heterodisulfide reductase subunit B2																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrABC2)	K03390	hdrC2		Energy Conservation (hdrABC-2)			EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6	heterodisulfide reductase subunit C2																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrDE)	K08264	hdrD	yes	Energy Conservation (hdrDE)			EC:1.8.98.1	heterodisulfide reductase subunit D																			
C1 and methane metabolism	Methanogenesis;methane oxidation	Energy Conservation (hdrDE)	K08265	hdrE		Energy Conservation (hdrDE)			EC:1.8.98.1	heterodisulfide reductase subunit E																			
C1 and methane metabolism	C¨CP lyase methane production	Aearobic Methanogenesis (phnJ/phnM/phnI/mpnS)	K06163	phnJ	yes				EC:4.7.1.1	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase																			
C1 and methane metabolism	C¨CP lyase methane production	Aearobic Methanogenesis (phnJ/phnM/phnI/mpnS)	K06162	phnM					EC:3.6.1.63	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase																			
C1 and methane metabolism	C¨CP lyase methane production	Aearobic Methanogenesis (phnJ/phnM/phnI/mpnS)	K06164	phnI					EC:2.7.8.37	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI																			
C1 and methane metabolism	C¨CP lyase methane production	Aearobic Methanogenesis (phnJ/phnM/phnI/mpnS)	K18049	mpnS					EC:1.13.11.73	methylphosphonate synthase																			
Oxidative phosphorylation and stress	Complex I (NADH-quinone oxidoreductase)	Complex I (NADH-quinone oxidoreductase) (nuoABC)	K00330	nuoA	yes					NADH-quinone oxidoreductase subunit A																			
Oxidative phosphorylation and stress	Complex I (NADH-quinone oxidoreductase)	Complex I (NADH-quinone oxidoreductase) (nuoABC)	K00331	nuoB						NADH-quinone oxidoreductase subunit B																			
Oxidative phosphorylation and stress	Complex I (NADH-quinone oxidoreductase)	Complex I (NADH-quinone oxidoreductase) (nuoABC)	K00332	nuoC						NADH-quinone oxidoreductase subunit C																			
Oxidative phosphorylation and stress	Complex I (NAD(P)H-quinone oxidoreductase)	Complex I (NAD(P)H-quinone oxidoreductase) (ndhABC)	K05572	ndhA	yes					NAD(P)H-quinone oxidoreductase subunit 1																			
Oxidative phosphorylation and stress	Complex I (NAD(P)H-quinone oxidoreductase)	Complex I (NAD(P)H-quinone oxidoreductase) (ndhABC)	K05573	ndhB						NAD(P)H-quinone oxidoreductase subunit 2																			
Oxidative phosphorylation and stress	Complex I (NAD(P)H-quinone oxidoreductase)	Complex I (NAD(P)H-quinone oxidoreductase) (ndhABC)	K05574	ndhC						NAD(P)H-quinone oxidoreductase subunit 3																			
Oxidative phosphorylation and stress	Complex II	Complex II	K00241	sdhC	yes					"succinate dehydrogenase / fumarate reductase, cytochrome b subunit"																			
Oxidative phosphorylation and stress	Complex II	Complex II	K00242	sdhD						"succinate dehydrogenase / fumarate reductase, membrane anchor subunit"																			
Oxidative phosphorylation and stress	Complex III	Complex III	K00411	petA	yes					ubiquinol-cytochrome c reductase iron-sulfur subunit																			
Oxidative phosphorylation and stress	Complex III	Complex III	K00412	petB						ubiquinol-cytochrome c reductase cytochrome b/c1 subunit																			
Oxidative phosphorylation and stress	Complex III	Complex III	K00410	fbcH						ubiquinol-cytochrome c reductase cytochrome b/c1 subunit																			
Oxidative phosphorylation and stress	Complex V (V/A type)	Complex V (V/A type)	K02117	atpA (V/A-type)	yes					V/A-type H+/Na+-transporting ATPase subunit A																			
Oxidative phosphorylation and stress	Complex V (V/A type)	Complex V (V/A type)	K02118	atpB (V/A-type)						V/A-type H+/Na+-transporting ATPase subunit B																			
Oxidative phosphorylation and stress	Complex V (F type)	Complex V (F type)	K02111	atpA (F-type)	yes					F-type H+/Na+-transporting ATPase subunit alpha																			
Oxidative phosphorylation and stress	Complex V (F type)	Complex V (F type)	K02112	atpD (F-type)						F-type H+/Na+-transporting ATPase subunit beta																			
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02262	cOX3	yes					cytochrome c oxidase subunit 3	COG1845	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02256	cOX1						cytochrome c oxidase subunit 1	COG0843	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02261	cOX2						cytochrome c oxidase subunit 2	COG1622	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02263	cOX4						cytochrome c oxidase subunit 4	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02264	cOX5A						cytochrome c oxidase subunit 5a	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02265	cOX5B						cytochrome c oxidase subunit 5b	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02266	cOX6A						cytochrome c oxidase subunit 6a	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02267	cOX6B						cytochrome c oxidase subunit 6b	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02268	cOX6C						cytochrome c oxidase subunit 6c	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02269	cOX7						cytochrome c oxidase subunit 7	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02271	cOX7B						cytochrome c oxidase subunit 7b	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02272	cOX7C						cytochrome c oxidase subunit 7c	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (Mitochondria)	K02273	cOX8						cytochrome c oxidase subunit 8	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase assembly	K02258	cOX11						cytochrome c oxidase assembly protein subunit 11	COG3175	Bacteria/Archaea/Eukaryotes																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase assembly	K02259	cOX15						cytochrome c oxidase assembly protein subunit 15	COG1612	Bacteria/Archaea/Eukaryotes																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase assembly	K02260	cOX17						cytochrome c oxidase assembly protein subunit 17	NA	Mitochondria																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome o ubiquinol oxidase (cyoABCD)	K02300	cyoD						cytochrome o ubiquinol oxidase subunit IV	COG3125	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome o ubiquinol oxidase (cyoABCD)	K02299	cyoC						cytochrome o ubiquinol oxidase subunit III	COG1845	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome o ubiquinol oxidase (cyoABCD)	K02298	cyoB						cytochrome o ubiquinol oxidase subunit I	COG0843	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome o ubiquinol oxidase (cyoABCD)	K02297	cyoA	yes					cytochrome o ubiquinol oxidase subunit II	COG1622	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (coxABCD)	K02277	"coxD, ctaF"						cytochrome c oxidase subunit IV	COG3125	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (coxABCD)	K02276	coxC						cytochrome c oxidase subunit III	COG1845	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (coxABCD)	K02274	coxA	yes					cytochrome c oxidase subunit I	COG0843	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome c oxidase (coxABCD)	K02275	coxB						cytochrome c oxidase subunit II	COG1622	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome aa3-600 menaquinol oxidase (qoxABCD)	K02829	qoxD						cytochrome aa3-600 menaquinol oxidase subunit IV	COG3125	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome aa3-600 menaquinol oxidase (qoxABCD)	K02828	qoxC						cytochrome aa3-600 menaquinol oxidase subunit III	COG1845	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome aa3-600 menaquinol oxidase (qoxABCD)	K02827	qoxB						cytochrome aa3-600 menaquinol oxidase subunit I	COG0843	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Oxidative Phosphorylation	cytochrome aa3-600 menaquinol oxidase (qoxABCD)	K02826	qoxA	yes					cytochrome aa3-600 menaquinol oxidase subunit II	COG1622	Bacteria/Archaea																	
Oxidative phosphorylation and stress	Alternative oxidase	Alternative oxidase (AOX)	K17893	AOX	yes					ubiquinol oxidase		Mitochondria/Chloroplasts/Cyanobacteria/Proteobacteria																	
Oxidative phosphorylation and stress	Superoxide removal	Superoxide dismutase (SOD)	K04564	SOD2					EC:1.15.1.1	"Superoxide dismutase, Fe-Mn family"																			
Oxidative phosphorylation and stress	Superoxide removal	Superoxide dismutase (SOD)	K04565	SOD1	yes				EC:1.15.1.1	"Superoxide dismutase, Cu-Zn family"																			
Oxidative phosphorylation and stress	Superoxide removal	Superoxide dismutase (SOD)	K16627	SOD3					EC:1.15.1.1	"Superoxide dismutase, Cu-Zn family"																			
Oxidative phosphorylation and stress	Hydrogen peroxide removal	Catalase (katEG)	K03781	katE	yes				EC:1.11.1.21	Catalase																			
Oxidative phosphorylation and stress	Hydrogen peroxide removal	Catalase (katEG)	K03782	katG					EC:1.11.1.21	Catalase-peroxidase																			
Oxidative phosphorylation and stress	Peroxide reduction	Peroxide reduction (ahpCF)	K24119	ahpC	yes					NADH-dependent peroxiredoxin subunit C																			
Oxidative phosphorylation and stress	Peroxide reduction	Peroxide reduction (ahpCF)	K03387	ahpF						NADH-dependent peroxiredoxin subunit F																			
Oxidative phosphorylation and stress	Peroxide reduction	Peroxide reduction (Prx/Trx)	K03564	bcp						Thioredoxin-dependent peroxiredoxin																			
Oxidative phosphorylation and stress	Peroxide reduction	Peroxide reduction (Prx/Trx)	K11065	tpx	yes					Thioredoxin-dependent peroxiredoxin																			
Oxidative phosphorylation and stress	Peroxide reduction	Peroxide reduction (Prx/Trx)	K23856	GPX						Peroxiredoxin																			
Oxidative phosphorylation and stress	Peroxide reduction	Peroxide reduction (Prx/Trx)	K24158	prx	yes					Thioredoxin-dependent peroxiredoxin																			
Oxidative phosphorylation and stress	Reductant regeneration	Reductant regeneration (gor/gshAB)	K00383	gor						Glutathione reductase (NADPH)																			
Oxidative phosphorylation and stress	Reductant regeneration	Reductant regeneration (gor/gshAB)	K01919	gshA						Glutamate--cysteine ligase																			
Oxidative phosphorylation and stress	Reductant regeneration	Reductant regeneration (gor/gshAB)	K01920	gshB						Glutathione synthase																			
Oxidative phosphorylation and stress	Repair of oxidative damage	Repair of oxidative damage (mutMY)	K10563	mutM	yes					Formamidopyrimidine-DNA glycosylase																			
Oxidative phosphorylation and stress	Repair of oxidative damage	Repair of oxidative damage (mutMY)	K03575	mutY						A/G-specific adenine glycosylase																			
Oxidative phosphorylation and stress	Regulatory factors	Regulatory factors (soxSR)	K13639	soxR						Redox-sensitive transcriptional activator SoxR				Activates the transcription of the soxS gene which itself controls the superoxide response regulon.															
Oxidative phosphorylation and stress	Regulatory factors	Regulatory factors (soxSR)	K13631	soxS	yes					"AraC family transcriptional regulator, mar-sox-rob regulon activator"																			
Oxidative phosphorylation and stress	Thioredoxin system	Thioredoxin system (trxB)	K00384	"trxB, TRR"	yes					"Thioredoxin reductase (NADPH), maintains cellular redox environment"																			
Oxidative phosphorylation and stress	Glutaredoxin system	Glutaredoxin system (grxABC)	K03674	grxA	yes					"Glutaredoxin 1, glutathione system"																			
Oxidative phosphorylation and stress	Glutaredoxin system	Glutaredoxin system (grxABC)	K03675	grxB						"Glutaredoxin 2, glutathione system"																			
Oxidative phosphorylation and stress	Glutaredoxin system	Glutaredoxin system (grxABC)	K03676	"grxC, GLRX, GLRX2"						"Glutaredoxin 3, glutathione system"																			
Oxidative phosphorylation and stress	Redox regulation	Redox regulation (rex)	K01926	rex						Redox-sensing transcriptional repressor																			
Carbon source utilization	Amino acid utilization	4-aminobutyrate and related aminotransferases	"K00823, K07250, K13524, K14268, K03918"	NA						4-aminobutyrate aminotransferase and related aminotransferases																			
Carbon source utilization	Amino acid utilization	Aminotransferase class I and II	K05825	NA						aminotransferase class I and II																			
Carbon source utilization	Amino acid utilization	Phosphoserine aminotransferase	K00831	NA						phosphoserine aminotransferase																			
Carbon source utilization	Amino acid utilization	Ornithine/acetylornithine aminotransferase	"K00819, K00821, K05830, K00840"	NA						ornithine/acetylornithine aminotransferase																			
Carbon source utilization	Amino acid utilization	Branched-chain amino acid aminotransferase	K00826	NA						branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase																			
Carbon source utilization	Amino acid utilization	4-amino-4-deoxychorismate lyase	"K02619, K03342"	NA						4-amino-4-deoxychorismate lyase																			
Carbon source utilization	Amino acid utilization	Aspartate/tyrosine/aromatic aminotransferase	"K00812, K00813, K11358, K00832"	NA						aspartate/tyrosine/aromatic aminotransferase																			
Carbon source utilization	Amino acid utilization	Histidinol-phosphate/aromatic aminotransferase	K00817	NA						histidinol-phosphate/aromatic aminotransferase																			
Carbon source utilization	Amino acid utilization	Serine-pyruvate/archaeal aspartate aminotransferase	K00830	NA						serine-pyruvate aminotransferase/archaeal aspartate aminotransferase																			
Carbon source utilization	Aromatics degradation	Phenol => Benzoyl-CoA	K03186	ubiX						flavin prenyltransferase																			
Carbon source utilization	Aromatics degradation	Phenol => Benzoyl-CoA	K01612	bsdC						vanillate/4-hydroxybenzoate decarboxylase subunit C																			
Carbon source utilization	Aromatics degradation	Benzoyl-CoA reduction (bcrABCD)	K04112	bcrC						benzoyl-CoA reductase subunit C																			
Carbon source utilization	Aromatics degradation	Benzoyl-CoA reduction (bcrABCD)	K04113	bcrB						benzoyl-CoA reductase subunit B																			
Carbon source utilization	Aromatics degradation	Benzoyl-CoA reduction (bcrABCD)	K04114	bcrA						benzoyl-CoA reductase subunit A																			
Carbon source utilization	Aromatics degradation	Benzoyl-CoA reduction (bcrABCD)	K04115	bcrD						benzoyl-CoA reductase subunit D																			
Carbon source utilization	Polysaccharides degradation	Laccase	K05909	Laccase						laccase [EC:1.10.3.2]																			
Carbon source utilization	Polysaccharides degradation	Peroxidase (DyP-type)	K15733	Peroxidase (DyP-type)						dye decolorizing peroxidase [EC:1.11.1.19]																			
Carbon source utilization	Polysaccharides degradation	Vanillate monooxygenase	K03862	vanA						vanillate monooxygenase [EC:1.14.13.82]																			
Carbon source utilization	Polysaccharides degradation	Vanillate monooxygenase ferredoxin	K03863	vanB						vanillate monooxygenase ferredoxin subunit																			
Carbon source utilization	Polysaccharides degradation	"Protocatechuate 3,4-dioxygenase"	K00448	pcaG						"protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]"																			
Carbon source utilization	Polysaccharides degradation	"Protocatechuate 3,4-dioxygenase"	K00449	pcaH						"protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"																			
Carbon source utilization	Polysaccharides degradation	"Catechol 1,2-dioxygenase"	K03381	catA						"catechol 1,2-dioxygenase [EC:1.13.11.1]"																			
Carbon source utilization	Polysaccharides degradation	"Catechol 2,3-dioxygenase"	K07104	catE						"catechol 2,3-dioxygenase [EC:1.13.11.2]"																			
Carbon source utilization	Polysaccharides degradation	Gallate dioxygenase	K04099	galA						gallate dioxygenase [EC:1.13.11.57]																			
Carbon source utilization	Polysaccharides degradation	Feruloyl esterase	K09252	FaeB						feruloyl esterase [EC:3.1.1.73]																			
Carbon source utilization	Polysaccharides degradation	Tannase (tannin acyl hydrolase)	K10759	tannase						tannase [EC:3.1.1.20]																			
Carbon source utilization	Polysaccharides degradation	Mannanase	"K01218, K19355"	"mannan endo-1,4-beta-mannosidase"	yes					"mannan endo-1,4-beta-mannosidase"																			
Carbon source utilization	Polysaccharides degradation	xyloglucan	K18576	XEG						"xyloglucan-specific endo-beta-1,4-glucanase"																			
Carbon source utilization	Polysaccharides degradation	xylanase	K01181	Xyn	yes					"endo-1,4-beta-xylanase"																			
Carbon source utilization	Polysaccharides degradation	xylanase	K20845	txyA						"endo-1,3-beta-xylanase"																			
Carbon source utilization	Polysaccharides degradation	Cellulose degrading	K19668	cbhA	yes				EC:3.2.1.91	"cellulose 1,4-beta-cellobiosidase"																			
Carbon source utilization	Polysaccharides degradation	Cellulose degrading	"K01179, K20542"	cellulase						cellulase																			
Carbon source utilization	Polysaccharides degradation	Cellulose degrading	"K01188, K05349, K05350"	beta-glucosidase						beta-glucosidase																			
Carbon source utilization	Polysaccharides degradation	pectin lyase	K01728	pel																									
Carbon source utilization	Polysaccharides degradation	pectate lyase	K01731	pelW																									
