Metabolism	Pathway	Module	KO	gene_name	if_key	NCBIfam	pfam	Refseq	EC	gene function	COG	Taxonomy	Reaction	Note															
Sulfur cycling	Sulfide oxidation	sulfide -> sulfur (fccAB)	K17230	fccA	yes					cytochrome subunit of sulfide dehydrogenase																			
Sulfur cycling	Sulfide oxidation	sulfide -> sulfur (sqr)	K17218	sqr	yes					sulfide:quinone oxidoreductase			n HS- + n quinone = polysulfide + n quinol [RN:R10152]																
Sulfur cycling	Sulfite reduction	Sulfite reduction (asrABC)	K16950	asrA	yes					anaerobic sulfite reductase subunit A																			
Sulfur cycling	Sulfite reduction	Sulfite reduction (asrABC)	K16951	asrB						anaerobic sulfite reductase subunit B																			
Sulfur cycling	Sulfite reduction	Sulfite reduction (asrABC)	K00385	asrC						anaerobic sulfite reductase subunit C																			
Sulfur cycling	Sulfate reduction	Sulfate reduction (sat)	K00958	sat	yes					sulfate adenylyltransferase																			
Sulfur cycling	Sulfate reduction	Sulfate reduction (aprAB)	K00394	aprA	yes					"adenylylsulfate reductase, subunit A"	NA	Bacteria/Archaea																	
Sulfur cycling	Sulfate reduction	Sulfate reduction (aprAB)	K00395	aprB						"adenylylsulfate reductase, subunit B"	NA	Bacteria/Archaea																	
Sulfur cycling	Sulfate reduction	Sulfate reduction (dsrABC)	K11179	dsrC						bacterial heterodisulfide	COG2920	Bacteria/Archaea																	
Sulfur cycling	Sulfate reduction	Sulfate reduction (dsrABC)	K11180	dsrA	yes					dissimilatory sulfite reductase alpha subunit	COG2221	Bacteria/Archaea																	
Sulfur cycling	Sulfate reduction	Sulfate reduction (dsrABC)	K11181	dsrB						dissimilatory sulfite reductase beta subunit	COG2221	Bacteria/Archaea																	
Sulfur cycling	Sulfur oxidation	Sulfur oxidation (sdo)	K17725	sdo	yes				EC:1.13.11.18	sulfur dioxygenase			S-sulfanylglutathione + O2 + H2O = glutathione + sulfite + 2 H+ [RN:R08678]																
Sulfur cycling	Sulfur oxidation/reduction	Sulfur oxidation/reduction (sor)	K16952	sor	yes				EC:1.13.11.55	sulfur oxygenase/reductase			4 sulfur + 4 H2O + O2 = 2 hydrogen sulfide + 2 sulfite [RN:R07365]																
Sulfur cycling	Sulfur reduction	Sulfur reduction (sreABC)	K17219	sreA	yes					sulfur reductase molybdopterin subunit			Sulfur + Reduced acceptor = Hydrogen sulfide + Acceptor																
Sulfur cycling	Sulfur reduction	Sulfur reduction (sreABC)	K17220	sreB						sulfur reductase FeS subunit			Sulfur + Reduced acceptor = Hydrogen sulfide + Acceptor																
Sulfur cycling	Sulfur reduction	Sulfur reduction (sreABC)	K17221	sreC						sulfur reductase membrane anchor			Sulfur + Reduced acceptor = Hydrogen sulfide + Acceptor																
Sulfur cycling	SOX system	SOX system (soxABCDXYZ)	K17222	soxA	yes					sulfur-oxidizing protein SoxA	NA	Bacteria																	
Sulfur cycling	SOX system	SOX system (soxABCDXYZ)	K17224	soxB						sulfur-oxidizing protein SoxB	COG0737	Bacteria																	
Sulfur cycling	SOX system	SOX system (soxABCDXYZ)	K17225	soxC						sulfur-oxidizing protein SoxC	COG2041	Bacteria																	
Sulfur cycling	SOX system	SOX system (soxABCDXYZ)	K08738	soxD						Sox (cytochrome c)	COG3474	Bacteria/Eukaryotes																	
Sulfur cycling	SOX system	SOX system (soxABCDXYZ)	K17223	soxX						sulfur-oxidizing protein SoxX	NA	Bacteria																	
Sulfur cycling	SOX system	SOX system (soxABCDXYZ)	K17226	soxY						sulfur-oxidizing protein SoxY	NA	Bacteria																	
Sulfur cycling	SOX system	SOX system (soxABCDXYZ)	K17227	soxZ						sulfur-oxidizing protein SoxZ	NA	Bacteria																	
